"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Label->Gov"
"171","0/1","<a>XXXX</a> might present such delectables as `` fried enema , '' `` monolithic tree mushroom stem squid '' and a mysterious thirst-quencher known as `` The Jew 's Ear Juice . ''","The menus of local restaurants","menus","nsubj -> present"
"173","0/1","As storm clouds brewed in the near distance , some 1,300 people gathered at the grassy Makerere University sports grounds here for a special Sunday afternoon rally and <a>XXXX</a> that , its organizers said , was to discuss homosexuality , witchcraft , corruption and the fear of violence leading up to the country 's presidential election next year .","prayer service","service","nsubj -> was"
"175","0/1","While BP tries various short-term efforts to plug <a>XXXX</a> , the company is preparing to drill a relief well as a backup plan .","a leaking oil well in the Gulf of Mexico","well","dobj -> plug"
"176","0/1","<a>XXXX</a> hopes to drill that well diagonally to intersect the original one below the seabed and then flood it with mud and cement to stop the uncontrolled flow .","BP","BP","nsubj -> drill"
"177","0/1","Moments after crossing <a>XXXX</a> to win his third Kentucky Derby , Calvin Borel called his shot in Babe Ruth-ian proportions .","the finishing line","line","dobj -> crossing"
"178","0/1","He is an emotional guy , as <a>XXXX</a> have seen over the last four years with flawless rail-skimming rides on Street Sense , Mine That Bird and now Super Saver .","we","we","nsubj -> seen"
"179","0/1","The government ordered a halt on Sunday to fishing in areas affected by the ever-spreading oil spill in the Gulf of Mexico , a ban that covers <a>XXXX</a> from Louisiana to Florida and hinders the livelihoods of untold numbers of fishermen .","waters","waters","dobj -> covers"
"180","0/1","Two days before his 21st birthday , <a>XXXX</a> came of age Sunday .","Rory McIlroy","McIlroy","nsubj -> came"
"181","0/1","After having barely made the 36-hole cut , McIlroy , the curly-haired phenom from Northern Ireland , put on an unforgettable weekend show , earning his first PGA Tour victory with a 10-under-par 62 to come from four strokes off the pace to beat <a>XXXX</a> by four strokes and Angel Cabrera by five in the Quail Hollow Championship .","Phil Mickelson","Mickelson","dobj -> beat"
"182","0/1","The Pentagon on Monday will release long-classified statistics about the total size of America 's nuclear arsenal , part of an effort to make the case that the country is honoring its treaty commitments to shrink its inventory of weapons significantly , <a>XXXX</a> said Sunday .","senior administration officials","officials","nsubj -> said"
"183","0/1","While BP tries <a>XXXX</a> to plug a leaking oil well in the Gulf of Mexico , the company is preparing to drill a relief well as a backup plan .","various short-term efforts","efforts","dobj -> tries"
"184","0/1","<a>XXXX</a> hopes to drill that well diagonally to intersect the original one below the seabed and then flood it with mud and cement to stop the uncontrolled flow .","BP","BP","nsubj -> drill"
"185","0/1","Where <a>XXXX</a> runs out of road and into bayou , and all that is left beyond is the Gulf of Mexico , dozens of docked shrimp boats bob in place , restless .","the world","world","nsubj -> runs"
"186","0/1","<a>XXXX</a> should be out right now , green nets trawling for cash in crustaceans .","They","They","nsubj -> now"
"187","0/1","But here they sit , their dry nets not even catching <a>XXXX</a> .","the air","air","dobj -> catching"
"188","0/1","In recent months , with emphatic victory after emphatic victory , Floyd Mayweather Jr. and <a>XXXX</a> each staked their claim to being boxing 's best .","Manny Pacquiao","Pacquiao","nsubj -> staked"
"189","0/1","But <a>XXXX</a> remains uncertain , even unlikely .","their dream bout","bout","nsubj -> remains"
"191","0/1","<a>XXXX</a> had a chip on his shoulder , a spark in his stride and a goal that sounded ludicrous .","Brandon Jennings","Jennings","nsubj -> had"
"192","0/1","Across NBA arenas , <a>XXXX</a> are nearly as common as the game itself .","MVP chants","chants","nsubj -> common"
"193","0/1","The refrain arrives late in games , whenever the home team 's best player earns a trip to the free-throw line , and increases in volume if <a>XXXX</a> is instrumental in pulling out a victory .","that player","player","nsubj -> instrumental"
"194","0/1","A special train carrying Kim Jong Il , North Korea 's reclusive leader , crossed into China early Monday on a trip to his country 's last remaining major ally , <a>XXXX</a> reported .","the news agency Yonhap and other South Korean news media","agency","nsubj -> reported"
"195","0/1","The American public is not pleased with Congress -- <a>XXXX</a> shows that less than a third of all voters are eager to support their representative in November .","one recent poll","poll","nsubj -> shows"
"196","0/1","`` I am not really happy right now with anybody , '' <a>XXXX</a> , recently told a Washington Post reporter .","a woman from Decatur , Ill.","woman","nsubj -> told"
"197","0/1","As she considered <a>XXXX</a> , she noted : `` When the country was founded , those guys were all pretty new at it .","the prospect of a government composed of fledgling lawmakers","prospect","dobj -> considered"
"198","0/1","President Barack Obama vowed the government would `` spare no resource '' in a `` coordinated , relentless response effort '' to clean up and stop the massive oil spill that was bearing down on wetlands , residents and commercial fishing operations along the Gulf of Mexico , as engineers made plans to deploy <a>XXXX</a> to trap the oil gushing from crumpled pipe a mile underwater .","containment boxes","boxes","dobj -> deploy"
"200","0/1","Before the Mets came here , first baseman Ike Davis spoke to his father , <a>XXXX</a> , who pointed out a curiosity about the series with the Phillies .","the former major league pitcher Ron Davis","Davis","appos -> father"
"201","0/1","<a>XXXX</a> noted that his son could face one of Ron Davis ' former teammates , Jamie Moyer .","He","He","nsubj -> noted"
"202","0/1","<a>XXXX</a> visited Louisiana on Sunday afternoon for a firsthand look at the response effort to an oil spill that he called a `` potentially unprecedented environmental disaster , '' while officials for BP described in detail for the first time their desperate efforts to seal the gushing well .","President Barack Obama","Obama","nsubj -> visited"
"203","0/1","Law enforcement officials offered a more detailed description of the makeup of the failed car bomb found in Times Square on Saturday night , and said they were reviewing surveillance footage that showed <a>XXXX</a> appeared to be in his 40s walking away from the area as he looked over his shoulder and removed a layer of clothing .","a white man who","man","nsubj -> appeared"
"204","0/1","<a>XXXX</a> visited Louisiana on Sunday afternoon for a firsthand look at the response effort to an oil spill that he called a `` potentially unprecedented environmental disaster , '' while officials for BP described in detail for the first time their desperate efforts to seal the gushing well .","President Barack Obama","Obama","nsubj -> visited"
"205","0/1","Time marches on through a maze of circled dates on a calendar : a birthday here , an anniversary there -- dates that come back around each year to fill <a>XXXX</a> .","life 's chapters","chapters","dobj -> fill"
"206","0/1","You know you 're at a pro tennis tournament in Italy when <a>XXXX</a> are outnumbered by the number of heels -- and that 's just the men .","the number of sneakers worn by the fans","number","nsubjpass -> outnumbered"
"207","0/1","Decades ago , in a remote village in Nazi-occupied France , <a>XXXX</a> would tip his hat each day to a young girl who lived there with her mom .","the mayor","mayor","nsubj -> tip"
"208","0/1","The two Republicans hoping to lead <a>XXXX</a> met in debate Sunday night , with both angling to paint themselves as the true conservative and calling for the repeal of the new federal health care law and the suspension of the state 's landmark global warming law .","California","California","dobj -> lead"
"209","0/1","`` <a>XXXX</a> reprints a great selection of the artists ' eerily accurate 18th-century views of Venice .","Venice in the Age of Canaletto '' -LRB- Prestel -RRB-","Venice","nsubj -> reprints"
"210","0/1","<a>XXXX</a> once had a friend who , faced with an emergency while driving , would close her eyes , scream and wave her hands .","I","I","nsubj -> wave"
"211","0/1","Arizona legislators made <a>XXXX</a> last week in that tough anti-immigrant legislation that their governor defended as constitutional .","some changes","changes","dobj -> made"
